"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000163083",521.38643026355,-2.44689812816031,0.164335029580872,2.20638453769683e-51,7.01189006080054e-48,"INHBB","inhibin subunit beta B"
"ENSG00000101825",172.331471201154,-4.75364312066567,0.339272376864526,1.37884255449247e-45,2.19098081908854e-42,"MXRA5","matrix remodeling associated 5"
"ENSG00000204386",278.750129833239,-2.60779421759736,0.208792177032018,4.83622227927153e-37,5.12317146784164e-34,"NEU1","neuraminidase 1"
"ENSG00000163347",1518.00527569215,2.01899510806288,0.165549729980317,1.98280584275782e-35,1.57533924207109e-32,"CLDN1","claudin 1"
"ENSG00000180543",136.521952434262,-3.29262029220149,0.278722603072401,2.15540314210711e-33,1.36997423712328e-30,"TSPYL5","TSPY like 5"
"ENSG00000147394",230.240819134538,-2.3008028553626,0.209991637375163,3.455871285678e-29,1.83045982431411e-26,"ZNF185","zinc finger protein 185 with LIM domain"
"ENSG00000112175",114.327878296939,-3.64252014487992,0.33441682659336,8.06739561655013e-29,3.66259760991376e-26,"BMP5","bone morphogenetic protein 5"
"ENSG00000164741",488.829128895829,-1.53274228250142,0.154987132154719,3.22858756256027e-24,1.28255640922707e-21,"DLC1","DLC1 Rho GTPase activating protein"
"ENSG00000187772",136.243113741551,-3.97180611962196,0.409169712597333,1.40447678370104e-23,4.95936357622435e-21,"LIN28B","lin-28 RNA binding posttranscriptional regulator B"
"ENSG00000118523",1939.4338635156,-1.14582698303259,0.120747551036311,2.08124570982322e-22,6.61419886581821e-20,"CCN2","cellular communication network factor 2"
"ENSG00000124145",3327.15902988983,1.15049401356298,0.122287631722286,4.66213427284601e-22,1.34693297446406e-19,"SDC4","syndecan 4"
"ENSG00000125266",131.466796421074,-2.45134238968858,0.267123876140484,2.41546594046525e-21,6.39695896566546e-19,"EFNB2","ephrin B2"
"ENSG00000161011",21226.6869625972,1.19099105115518,0.128898952007587,2.71033716538683e-21,6.62573193199951e-19,"SQSTM1","sequestosome 1"
"ENSG00000130513",2668.51689545711,1.49723530411038,0.164040363308173,5.14967022733894e-21,1.16897514160594e-18,"GDF15","growth differentiation factor 15"
"ENSG00000242732",242.230917451049,1.90411069689011,0.212109983250026,1.75693073233597e-20,3.72235057824247e-18,"RTL5","retrotransposon Gag like 5"
"ENSG00000144583",469.719179753967,-1.40886497941872,0.157274798140367,2.45633062638417e-20,4.87888670665556e-18,"MARCHF4","membrane associated ring-CH-type finger 4"
"ENSG00000148677",155.034119760035,-2.36652542961207,0.266103999930212,3.4753353310013e-20,6.49683275407184e-18,"ANKRD1","ankyrin repeat domain 1"
"ENSG00000164690",221.198588666033,-1.93428418294396,0.221351407546149,1.30187588206435e-19,2.2985341962225e-17,"SHH","sonic hedgehog signaling molecule"
"ENSG00000136928",132.985206356897,-2.07420792895353,0.24929748051898,5.55505487737615e-18,9.29156021068495e-16,"GABBR2","gamma-aminobutyric acid type B receptor subunit 2"
"ENSG00000115616",331.870484859771,1.46826726076709,0.178309973266043,1.28442296208086e-17,2.04094808674649e-15,"SLC9A2","solute carrier family 9 member A2"
"ENSG00000261796",982.824855217095,1.3714676403028,0.170653868973732,7.06675852856532e-17,1.06943612398955e-14,"ISY1-RAB43","ISY1-RAB43 readthrough"
"ENSG00000144227",53.9256035937277,-3.53348728138214,0.454309656217613,5.39210559934382e-16,7.78914163396121e-14,"NXPH2","neurexophilin 2"
"ENSG00000114638",49.8224392974395,-3.75170822685427,0.48910213975761,1.16536529602737e-15,1.48141236431e-13,"UPK1B","uroplakin 1B"
"ENSG00000133639",957.734258891211,1.3055947379559,0.16976643262583,1.14338997049086e-15,1.48141236431e-13,"BTG1","BTG anti-proliferation factor 1"
"ENSG00000272398",52.6337801780213,-3.48208891273264,0.454751248014513,1.08498670434223e-15,1.48141236431e-13,"CD24","CD24 molecule"
"ENSG00000173705",215.443764230356,-1.56064640286396,0.210909520074626,8.87309099232699e-15,1.08456473744674e-12,"SUSD5","sushi domain containing 5"
"ENSG00000138495",1230.67088770221,1.17029735604131,0.158173651238899,1.20849530249739e-14,1.42244373012471e-12,"COX17","cytochrome c oxidase copper chaperone COX17"
"ENSG00000204767",185.776873138819,-1.58308222574034,0.216215119406464,1.64634132672135e-14,1.86531872800658e-12,"INSYN2B","inhibitory synaptic factor family member 2B"
"ENSG00000265972",120.170871356746,1.86154394157259,0.254594665979872,1.70214736035843e-14,1.86531872800658e-12,"TXNIP","thioredoxin interacting protein"
"ENSG00000116574",360.36718385449,1.49213915178041,0.204792546596556,2.25802501411106e-14,2.39200116494832e-12,"RHOU","ras homolog family member U"
"ENSG00000165757",1368.30912699324,-1.02313349500104,0.140325406959204,3.04516375869425e-14,3.12178400810655e-12,"JCAD","junctional cadherin 5 associated"
"ENSG00000111885",265.909368646631,1.54133393223485,0.216965261229327,8.33866445401869e-14,8.28133613589731e-12,"MAN1A1","mannosidase alpha class 1A member 1"
"ENSG00000078401",627.42373220777,-1.24645856289676,0.177052016681862,1.51879240537602e-13,1.45896675572248e-11,"EDN1","endothelin 1"
"ENSG00000243725",711.087278184103,-1.0501927841886,0.148684816036583,1.56088325030096e-13,1.45896675572248e-11,"TTC4","tetratricopeptide repeat domain 4"
"ENSG00000179111",73.7896728774859,-2.2835275543858,0.330653125771021,3.10785246446886e-13,2.82193003773773e-11,"HES7","hes family bHLH transcription factor 7"
"ENSG00000078081",120.386048418225,2.04093184588831,0.296833730692667,3.37418246520389e-13,2.97865329844943e-11,"LAMP3","lysosomal associated membrane protein 3"
"ENSG00000006210",107.820701574607,-1.81690713984313,0.266885615976689,6.17996095581721e-13,5.30808538313165e-11,"CX3CL1","C-X3-C motif chemokine ligand 1"
"ENSG00000123595",395.277509623655,1.27951799097448,0.188666478547228,9.24471395850762e-13,7.73150025266769e-11,"RAB9A","RAB9A, member RAS oncogene family"
"ENSG00000198435",393.551968254523,-1.18293445460348,0.174735350470517,1.07341799023282e-12,8.74698044348691e-11,"NRARP","NOTCH regulated ankyrin repeat protein"
"ENSG00000006047",669.750711864482,-1.30380729888346,0.194048693638638,1.38073327824657e-12,1.0969925895669e-10,"YBX2","Y-box binding protein 2"
"ENSG00000179051",3374.19057363651,-0.773976782295324,0.116146937984293,3.93553943153746e-12,3.05052300327465e-10,"RCC2","regulator of chromosome condensation 2"
"ENSG00000170439",56.8326063371717,2.79094869651355,0.434070424957568,7.98762426730986e-12,6.04396902893113e-10,"TMT1B","thiol methyltransferase 1B"
"ENSG00000122862",607.673093441257,1.14941922218543,0.177479484918881,8.36931314690448e-12,6.1855063211308e-10,"SRGN","serglycin"
"ENSG00000169895",1378.17328994695,0.942694002400681,0.146077633344498,1.21682597222453e-11,8.78880213574898e-10,"SYAP1","synapse associated protein 1"
"ENSG00000271303",2300.65240801722,0.728407496721128,0.112346741155974,1.46291114162404e-11,1.03314035735138e-09,"SRXN1","sulfiredoxin 1"
"ENSG00000053372",1596.4290791064,-0.806431243858585,0.125263155949161,1.64971402064845e-11,1.13973720817843e-09,"MRTO4","MRT4 homolog, ribosome maturation factor"
"ENSG00000198934",50.7861542816515,2.48242211249932,0.39479678984809,2.05326211623976e-11,1.38835468200212e-09,"MAGEE1","MAGE family member E1"
"ENSG00000258986",31.8360525722266,3.62114797429489,0.580440699062608,3.80413579899267e-11,2.51865491024973e-09,"TMEM179","transmembrane protein 179"
"ENSG00000176692",248.707499072803,-1.54033581741673,0.248995155276247,4.04957257477652e-11,2.62643706992648e-09,"FOXC2","forkhead box C2"
"ENSG00000205795",166.894481586015,1.35551927848941,0.219415832843007,4.86960763762921e-11,3.09512261447713e-09,"CYS1","cystin 1"
"ENSG00000105204",1633.0376861895,0.988114687439067,0.160847465964141,8.36748626752352e-11,5.21409242317446e-09,"DYRK1B","dual specificity tyrosine phosphorylation regulated kinase 1B"
"ENSG00000065518",2582.03504557061,0.832291477819998,0.136411477338775,1.3876103278618e-10,8.48043388835541e-09,"NDUFB4","NADH:ubiquinone oxidoreductase subunit B4"
"ENSG00000134107",1995.7848216653,-0.734507849342886,0.120383759522169,1.62236858294505e-10,9.72808935207427e-09,"BHLHE40","basic helix-loop-helix family member e40"
"ENSG00000075643",213.155908478517,1.22530749544063,0.204588458288688,1.70573095047272e-10,9.99996814717607e-09,"MOCOS","molybdenum cofactor sulfurase"
"ENSG00000137331",2422.48699597455,-0.736109268804333,0.120809129672359,1.73064269381587e-10,9.99996814717607e-09,"IER3","immediate early response 3"
"ENSG00000138166",809.184159317731,0.882875457283175,0.147462976037916,2.57592822667128e-10,1.46183926863595e-08,"DUSP5","dual specificity phosphatase 5"
"ENSG00000174004",197.356990540978,1.53076923805567,0.263058753617279,3.90014836091671e-10,2.1745037703497e-08,"NRROS","negative regulator of reactive oxygen species"
"ENSG00000125657",117.218639718378,-1.57225289184277,0.272502544216508,5.19977505421869e-10,2.84911812453569e-08,"TNFSF9","TNF superfamily member 9"
"ENSG00000114446",741.83072727496,0.998052120937927,0.171400347528545,5.80758428730695e-10,3.12822082458669e-08,"IFT57","intraflagellar transport 57"
"ENSG00000082497",22.9885014821487,-8.61655748125052,2.81181137518034,8.23020827832433e-10,4.35926698475245e-08,"SERTAD4","SERTA domain containing 4"
"ENSG00000157870",154.035434659036,-1.58179802305407,0.282081360737112,1.28009136509803e-09,6.66906616111726e-08,"PRXL2B","peroxiredoxin like 2B"
"ENSG00000101000",568.634016536706,-0.86236026584368,0.150985992210017,1.35751437412653e-09,6.95835593705501e-08,"PROCR","protein C receptor"
"ENSG00000196368",704.821350970272,-0.901146448456738,0.159870895877207,1.97647667944507e-09,9.97022680520067e-08,"NUDT11","nudix hydrolase 11"
"ENSG00000232040",19.5201011487384,-8.34990082272525,2.77303387956188,2.05565872747418e-09,1.0207630368614e-07,"SCAND3","SCAN domain containing 3"
"ENSG00000240771",185.034364236787,1.21908324969712,0.221091416534652,2.73256543063328e-09,1.33601429823886e-07,"ARHGEF25","Rho guanine nucleotide exchange factor 25"
"ENSG00000105376",141.630928895484,-1.47635504736659,0.270246575244344,3.07203893975819e-09,1.47923329553811e-07,"ICAM5","intercellular adhesion molecule 5"
"ENSG00000162377",849.097729172052,-0.742692622997193,0.132552518486699,3.20554265420523e-09,1.52047978433794e-07,"COA7","cytochrome c oxidase assembly factor 7"
"ENSG00000205363",33.2765592377067,4.44051152446334,0.833740685005387,3.44290771748445e-09,1.60905304796553e-07,"INSYN1","inhibitory synaptic factor 1"
"ENSG00000102931",1131.37224124149,0.920187979202926,0.167061187073111,4.09429896958309e-09,1.88575103265725e-07,"ARL2BP","ARF like GTPase 2 binding protein"
"ENSG00000163661",907.310214543941,0.773730146996643,0.140116671448991,4.79487689676786e-09,2.17687411113261e-07,"PTX3","pentraxin 3"
"ENSG00000177383",525.934920438857,0.846126619748477,0.155857915089079,7.16868236657901e-09,3.20874261422367e-07,"MAGEF1","MAGE family member F1"
"ENSG00000149428",4490.88637251496,0.875671906118609,0.162338451008719,8.23392850258008e-09,3.63436455294438e-07,"HYOU1","hypoxia up-regulated 1"
"ENSG00000143862",697.625853195299,0.824600661710498,0.152647315451282,8.54612855723087e-09,3.72049267875064e-07,"ARL8A","ARF like GTPase 8A"
"ENSG00000108639",1334.22078130089,0.854196913401125,0.158823612475167,9.39481431316157e-09,4.03469187665236e-07,"SYNGR2","synaptogyrin 2"
"ENSG00000106123",166.920076858786,-5.11992220755178,1.05595559427473,1.22846926804378e-08,5.2054337784575e-07,"EPHB6","EPH receptor B6"
"ENSG00000249242",56.7016181434452,2.1744557801943,0.426470358149901,1.45070030815716e-08,6.06621786753086e-07,"TMEM150C","transmembrane protein 150C"
"ENSG00000100889",565.611540728192,0.909738705613541,0.172450709190221,1.49330291500526e-08,6.16326839465807e-07,"PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial"
"ENSG00000120149",262.529232860213,0.950172088950137,0.182141885879179,1.92561216260098e-08,7.80804649957274e-07,"MSX2","msh homeobox 2"
"ENSG00000197822",236.65025325966,-1.39529081851465,0.272159471736082,1.94095554898127e-08,7.80804649957274e-07,"OCLN","occludin"
"ENSG00000166454",1411.04751018001,0.726032776144475,0.137461800131091,2.04153453171027e-08,8.10999592721905e-07,"ATMIN","ATM interactor"
"ENSG00000168209",2401.84226335002,0.802438161108555,0.153126791330594,2.16230178341274e-08,8.48369761442677e-07,"DDIT4","DNA damage inducible transcript 4"
"ENSG00000124766",1439.77986604716,-0.70527109461809,0.134519462098986,2.58946069956966e-08,1.00357391502834e-06,"SOX4","SRY-box transcription factor 4"
"ENSG00000257529",1590.40594926939,-0.724582209039624,0.138542470133991,2.65646000107155e-08,1.01713613053077e-06,"RPL36A-HNRNPH2","RPL36A-HNRNPH2 readthrough"
"ENSG00000139178",219.248403681814,1.53617253631167,0.304955866299236,2.75855163359268e-08,1.04365203470923e-06,"C1RL","complement C1r subcomponent like"
"ENSG00000256229",25.029648502782,-6.057990542534,1.10759917506102,2.90806544557899e-08,1.0872743513e-06,"ZNF486","zinc finger protein 486"
"ENSG00000142619",82.7633155537996,-1.74933777375754,0.34912701135005,3.2073977575952e-08,1.18524535739972e-06,"PADI3","peptidyl arginine deiminase 3"
"ENSG00000144355",78.2903791010305,-1.5359189159263,0.30690535870202,3.49722728664528e-08,1.27749290999525e-06,"DLX1","distal-less homeobox 1"
"ENSG00000227051",66.6856199099969,-1.64674183781238,0.330057078459879,3.78373760834426e-08,1.3664452408316e-06,"C14orf132","chromosome 14 open reading frame 132"
"ENSG00000181467",2536.09056255311,0.642217331265312,0.123792309958795,4.24247111489196e-08,1.51489586551985e-06,"RAP2B","RAP2B, member of RAS oncogene family"
"ENSG00000198846",13.9244861593549,-7.71876360444955,2.73096593661217,5.31554405105643e-08,1.87697766602859e-06,"TOX","thymocyte selection associated high mobility group box"
"ENSG00000117115",4914.91478014976,-0.60601398823663,0.117772067596925,5.55120017901866e-08,1.93864990867267e-06,"PADI2","peptidyl arginine deiminase 2"
"ENSG00000169213",521.517849323618,-0.919286593782832,0.184443379775099,6.66694995888472e-08,2.3029964097104e-06,"RAB3B","RAB3B, member RAS oncogene family"
"ENSG00000121743",432.671939491783,-0.842560249122209,0.168579923860546,7.02536413037202e-08,2.40071045229272e-06,"GJA3","gap junction protein alpha 3"
"ENSG00000112852",113.32001341985,1.32678834183001,0.275208238039631,1.00847297961506e-07,3.40949694597517e-06,"PCDHB2","protocadherin beta 2"
"ENSG00000184584",115.216889777021,1.29826165628684,0.270177857619479,1.12470908808229e-07,3.76244787571107e-06,"STING1","stimulator of interferon response cGAMP interactor 1"
"ENSG00000168672",114.660541871478,-1.43435005648998,0.301439807682463,1.25623830614335e-07,4.15867222596206e-06,"LRATD2","LRAT domain containing 2"
"ENSG00000163428",3224.52286524794,1.0263164656753,0.213447421123743,1.41136048699212e-07,4.62402435841336e-06,"LRRC58","leucine rich repeat containing 58"
"ENSG00000276043",2795.49903975702,-0.801146475497356,0.166106546508014,1.84642308959099e-07,5.98768630481649e-06,"UHRF1","ubiquitin like with PHD and ring finger domains 1"
"ENSG00000182118",45.774830242776,-1.86866869506509,0.403217721807627,2.08409695026639e-07,6.69016172519858e-06,"FAM89A","family with sequence similarity 89 member A"
"ENSG00000078747",233.064870406053,-1.55177396583172,0.335404145430835,2.18660243023573e-07,6.94902252328916e-06,"ITCH","itchy E3 ubiquitin protein ligase"
"ENSG00000130770",836.057698131109,-0.777706547766597,0.162758667965523,2.42964164310287e-07,7.64495162552567e-06,"ATP5IF1","ATP synthase inhibitory factor subunit 1"
"ENSG00000147027",12.2261523854042,-7.44103380391191,2.73509440942069,3.00834953502837e-07,9.31049508858299e-06,"TMEM47","transmembrane protein 47"
"ENSG00000205940",12.0153865780993,-7.41634887811607,2.72865862539087,3.01756134085604e-07,9.31049508858299e-06,"HSP90AB2P","heat shock protein 90 alpha family class B member 2, pseudogene"
"ENSG00000111981",114.84686550656,1.37318463285915,0.299408345303306,3.09161058262498e-07,9.44724849190595e-06,"ULBP1","UL16 binding protein 1"
"ENSG00000140379",114.649583586863,-1.28463102013829,0.282169189685007,3.78992548340355e-07,1.14708411297681e-05,"BCL2A1","BCL2 related protein A1"
"ENSG00000076641",254.295085539114,-0.860137358823788,0.1882492610078,5.70745077406388e-07,1.69759390041449e-05,"PAG1","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000181788",656.223681188428,0.726354203844589,0.156946333283661,5.71562452310731e-07,1.69759390041449e-05,"SIAH2","siah E3 ubiquitin protein ligase 2"
"ENSG00000163808",941.349619580399,-0.69650933432301,0.150461874187964,5.99705096413013e-07,1.76468777444496e-05,"KIF15","kinesin family member 15"
"ENSG00000154174",3034.1360135776,0.803330572370668,0.175626180273744,6.38377596081769e-07,1.86125137646593e-05,"TOMM70","translocase of outer mitochondrial membrane 70"
"ENSG00000235109",133.198413583009,1.20111694739191,0.269806408308018,6.61195769781479e-07,1.91025468760504e-05,"ZSCAN31","zinc finger and SCAN domain containing 31"
"ENSG00000121879",1426.04421774544,0.887102908101336,0.196615619738781,7.22164623311068e-07,2.06760285845277e-05,"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
"ENSG00000005001",159.087705334123,1.02752891367115,0.230830641231239,7.75156032990835e-07,2.1995052436115e-05,"PRSS22","serine protease 22"
"ENSG00000239887",569.15527082614,0.7292334644455,0.160155100163393,8.10572744558277e-07,2.27964617894354e-05,"C1orf226","chromosome 1 open reading frame 226"
"ENSG00000099194",21209.6199578838,0.590145473878802,0.127738808015488,8.66727705771917e-07,2.41619355170452e-05,"SCD","stearoyl-CoA desaturase"
"ENSG00000167703",152.277302860714,-1.3071633790757,0.300495431083474,9.25701576068968e-07,2.55815618151929e-05,"SLC43A2","solute carrier family 43 member 2"
"ENSG00000128165",149.721290284218,1.07635381675321,0.245635833501257,1.02007652123297e-06,2.79465791765378e-05,"ADM2","adrenomedullin 2"
"ENSG00000277443",4688.70822826575,-0.633275521608806,0.140310763751151,1.22408303253911e-06,3.32490245932418e-05,"MARCKS","myristoylated alanine rich protein kinase C substrate"
"ENSG00000266094",85.9085481393305,1.43376652390554,0.337704857959222,1.32125765502895e-06,3.55843798956103e-05,"RASSF5","Ras association domain family member 5"
"ENSG00000111962",16.1388691770613,-3.57912031326519,0.828372402558022,1.3483571835904e-06,3.60090683147084e-05,"UST","uronyl 2-sulfotransferase"
"ENSG00000174173",1181.91397936519,0.88677468009052,0.203329983980016,1.43634351788328e-06,3.80391641652755e-05,"TRMT10C","tRNA methyltransferase 10C, mitochondrial RNase P subunit"
"ENSG00000145569",369.730612807918,-0.961380037867622,0.222177506324445,1.4572808308986e-06,3.80922814837816e-05,"OTULINL","OTU deubiquitinase with linear linkage specificity like"
"ENSG00000292227",662.663764978588,-0.687108817872065,0.15461194627185,1.46232169320999e-06,3.80922814837816e-05,"LOC102724250","neuroblastoma breakpoint family member 1-like"
"ENSG00000163762",2440.4424195084,0.719180898885611,0.16294759610688,1.59015046348949e-06,4.10853509997528e-05,"TM4SF18","transmembrane 4 L six family member 18"
"ENSG00000158246",269.971148444067,-1.11833899290208,0.262729605192748,1.65715440773638e-06,4.24712637724694e-05,"TENT5B","terminal nucleotidyltransferase 5B"
"ENSG00000221867",27.7426325921805,-2.29932474061408,0.554926347888583,1.72733452665287e-06,4.39157530056226e-05,"MAGEA3","MAGE family member A3"
"ENSG00000221867",27.7426325921805,-2.29932474061408,0.554926347888583,1.72733452665287e-06,4.39157530056226e-05,"MAGEA6","MAGE family member A6"
"ENSG00000198681",35.6709600825164,1.91310499223,0.467907301197785,2.4264323623491e-06,6.12000162503608e-05,"MAGEA1","MAGE family member A1"
"ENSG00000163961",966.347474910513,0.602955846078622,0.138492917506018,2.82718084845272e-06,7.07463050108879e-05,"RNF168","ring finger protein 168"
"ENSG00000183020",763.939435847189,-0.874177172307604,0.208262460893472,2.93994753321186e-06,7.29933848480257e-05,"AP2A2","adaptor related protein complex 2 subunit alpha 2"
"ENSG00000125945",501.23237948698,-0.752399413009806,0.176966862864841,2.98595273420769e-06,7.35609130954421e-05,"ZNF436","zinc finger protein 436"
"ENSG00000198899",41700.4577709059,0.61506730278737,0.141681496454824,3.00929795596717e-06,7.35657608004896e-05,"MT-ATP6","ATP synthase F0 subunit 6"
"ENSG00000162040",20.3875327461275,-2.97313883984136,0.737859189933388,3.07265588533588e-06,7.45412244549421e-05,"HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6"
"ENSG00000139194",37.8999975526886,1.95690748356349,0.48867078464553,3.11228962522362e-06,7.49307305224294e-05,"RBP5","retinol binding protein 5"
"ENSG00000130772",293.083844565847,-0.794465706540012,0.188510635500103,3.22969723190235e-06,7.71727654359824e-05,"MED18","mediator complex subunit 18"
"ENSG00000144063",6150.53662683037,0.464254005294156,0.104981471374918,3.2692196506126e-06,7.75341794749763e-05,"MALL","mal, T cell differentiation protein like"
"ENSG00000144063",6150.53662683037,0.464254005294156,0.104981471374918,3.2692196506126e-06,7.75341794749763e-05,"LOC128966597","MAL-like protein"
"ENSG00000157184",333.783687789478,-0.808026226451256,0.192609117260269,3.40915857867979e-06,8.00559179839688e-05,"CPT2","carnitine palmitoyltransferase 2"
"ENSG00000179041",1697.97137481983,0.526435023402315,0.120630792673948,3.42592978156695e-06,8.00559179839688e-05,"RRS1","regulator of ribosome synthesis 1"
"ENSG00000196639",285.282687619925,-0.792501054552565,0.188975519630158,3.5159879962078e-06,8.15606558536379e-05,"HRH1","histamine receptor H1"
"ENSG00000145779",171.646697940477,-0.939678506749555,0.228088799644399,3.76814925071925e-06,8.6776654483955e-05,"TNFAIP8","TNF alpha induced protein 8"
"ENSG00000068079",244.337993087317,0.807679120594137,0.193500880130362,3.81642435724338e-06,8.725609070014e-05,"IFI35","interferon induced protein 35"
"ENSG00000139182",129.121725447258,1.12263422540329,0.279520544226171,4.57055199493044e-06,0.000103374061199613,"CLSTN3","calsyntenin 3"
"ENSG00000162078",148.403207996084,0.95207374337925,0.233827632336083,4.5864514251559e-06,0.000103374061199613,"ZG16B","zymogen granule protein 16B"
"ENSG00000203727",30.1449825022072,-2.09501211849362,0.53555179400838,4.68714141394764e-06,0.000104899545165673,"SAMD5","sterile alpha motif domain containing 5"
